Date;Open;High;Low;Close
2019.07.29;14592.16;14592.16;14379.79;14424.07
2019.07.26;14507.74;14574.22;14451.39;14553.92
2019.07.25;14531.00;14619.58;14484.78;14503.37
2019.07.24;14627.14;14652.69;14463.46;14502.25
2019.07.23;14673.61;14690.65;14585.93;14617.72
2019.07.22;14737.58;14737.58;14567.35;14641.86
2019.07.19;15025.92;15031.20;14711.37;14736.48
2019.07.18;15108.43;15108.43;14961.62;14970.66
2019.07.17;15105.34;15142.75;15074.82;15111.61
2019.07.16;15013.54;15097.32;14966.83;15091.12
2019.07.15;15051.91;15054.74;14927.88;14991.05
2019.07.12;15023.03;15070.84;14957.50;14971.95
2019.07.11;14943.56;15000.95;14909.50;14985.77
2019.07.10;14967.49;15013.46;14862.95;14881.72
2019.07.09;14969.27;14999.48;14848.06;14970.24
2019.07.08;15278.08;15278.08;14919.49;14960.48
2019.07.05;15510.74;15527.12;15271.64;15291.98
2019.07.04;15481.35;15505.91;15461.98;15479.27
2019.07.03;15463.77;15477.50;15413.25;15450.21
2019.07.02;15420.45;15436.11;15322.48;15429.64
2019.07.01;15342.83;15401.89;15342.52;15380.24
2019.06.28;15370.11;15379.49;15273.10;15291.70
2019.06.27;15345.77;15413.82;15325.45;15350.45
2019.06.26;15235.72;15357.44;15214.12;15332.21
2019.06.25;15149.17;15268.30;15082.33;15253.60
2019.06.24;15173.42;15207.42;15113.91;15144.88
2019.06.21;15279.30;15279.60;15144.84;15172.48
2019.06.20;15071.30;15289.63;15010.74;15277.09
2019.06.19;15174.50;15254.20;15008.73;15089.68
2019.06.18;15135.95;15177.38;15066.39;15128.25
2019.06.17;15322.59;15329.98;15091.00;15106.50
2019.06.14;15446.40;15446.42;15279.35;15304.57
2019.06.13;15417.52;15444.41;15308.93;15426.80
2019.06.12;15533.02;15534.14;15405.18;15436.56
2019.06.11;15493.38;15558.14;15430.19;15524.17
2019.06.10;15473.30;15536.12;15404.54;15458.40
2019.06.07;15412.17;15453.24;15286.86;15413.04
2019.06.06;15652.50;15654.93;15380.09;15395.54
2019.06.04;15696.49;15742.11;15620.99;15636.00
2019.06.03;15551.89;15716.63;15515.66;15705.30
2019.05.31;15594.80;15657.45;15410.87;15517.90
2019.05.30;15479.26;15560.68;15456.63;15543.65
2019.05.29;15554.52;15554.58;15421.49;15447.89
2019.05.28;15563.95;15573.67;15477.05;15551.66
2019.05.27;15421.40;15556.20;15364.06;15523.60
2019.05.24;15215.35;15401.43;15144.88;15392.19
2019.05.23;15370.82;15568.10;15071.53;15123.20
2019.05.22;15197.63;15242.57;15127.94;15193.67
2019.05.21;15349.62;15375.35;15123.23;15156.71
2019.05.20;15045.46;15319.41;15016.01;15304.65
2019.05.17;14623.91;14784.23;14595.95;14767.17
2019.05.16;14515.53;14632.90;14465.56;14596.24
2019.05.15;14637.03;14668.16;14477.72;14497.75
2019.05.14;14503.64;14656.46;14424.10;14578.47
2019.05.13;14706.56;14706.56;14466.05;14495.61
2019.05.10;14741.62;14776.96;14670.16;14699.29
2019.05.09;14774.13;14781.84;14655.61;14716.32
2019.05.08;14947.13;14947.97;14767.16;14780.67
2019.05.07;15151.48;15158.44;14947.48;14958.09
2019.05.06;15155.78;15155.78;15063.26;15087.28
2019.05.03;15266.61;15297.87;15215.98;15231.50
2019.05.02;15302.21;15347.42;15235.45;15252.01
2019.04.30;15342.50;15344.85;15194.01;15293.75
2019.04.26;15302.57;15349.95;15258.08;15338.58
2019.04.25;15364.23;15432.37;15237.88;15258.15
2019.04.24;15222.79;15359.15;15186.17;15348.12
2019.04.23;15245.29;15273.47;15170.57;15188.00
2019.04.22;15421.23;15421.35;15189.60;15207.33
2019.04.18;15551.68;15570.55;15405.07;15421.87
2019.04.16;15434.44;15525.69;15434.44;15501.39
2019.04.15;15344.70;15411.01;15343.31;15388.87
2019.04.12;15288.49;15338.79;15254.45;15324.53
2019.04.11;15261.33;15277.13;15210.97;15261.38
2019.04.10;15328.05;15356.95;15235.54;15245.47
2019.04.09;15280.48;15350.04;15210.08;15337.23
2019.04.08;15385.38;15402.47;15210.41;15268.15
2019.04.05;15310.61;15374.91;15286.45;15347.23
2019.04.04;15338.07;15339.08;15205.99;15260.89
2019.04.03;15440.72;15478.35;15295.12;15312.73
2019.04.02;15417.27;15424.54;15341.34;15399.72
2019.04.01;15369.60;15463.27;15351.54;15373.98
2019.03.29;15266.20;15316.93;15242.04;15304.57
2019.03.28;15091.98;15234.53;15073.26;15215.86
2019.03.27;15114.24;15161.65;15015.60;15057.53
2019.03.26;14944.31;15085.76;14931.96;15066.84
